[run number],distancing?,house-capacity,mask-effectiveness,seats?,infectiousness,vaccinated-people,initialy-sick,number-people,exit?,mask?,time-of-closing,[step],overall-visitors,overall-infected,overall-sick
6,TRUE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,103,0,18
1,TRUE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,102,3,22
2,TRUE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,97,3,25
8,TRUE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,107,5,26
7,TRUE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,98,7,27
3,TRUE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,118,4,24
4,TRUE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,117,3,29
5,TRUE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,100,4,28
9,TRUE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,87,1,22
12,TRUE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,85,0,20
10,TRUE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,107,3,24
13,TRUE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,75,3,16
11,TRUE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,86,3,23
14,TRUE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,107,4,21
15,TRUE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,111,4,25
16,TRUE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,116,3,29
17,TRUE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,97,3,23
20,TRUE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,93,4,20
18,TRUE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,102,2,21
19,TRUE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,118,9,27
22,TRUE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,118,4,27
24,TRUE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,109,5,28
23,TRUE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,100,2,29
25,TRUE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,107,7,26
21,TRUE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,98,8,29
27,TRUE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,105,0,26
26,TRUE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,106,5,24
28,TRUE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,99,7,22
29,TRUE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,104,7,28
31,TRUE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,115,4,34
30,TRUE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,124,6,30
32,TRUE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,83,0,22
35,TRUE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,112,6,28
34,TRUE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,100,5,24
