[run number],distancing?,house-capacity,mask-effectiveness,seats?,infectiousness,vaccinated-people,initialy-sick,number-people,exit?,mask?,time-of-closing,[step],overall-visitors,overall-infected,overall-sick
4,FALSE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,88,48,21
2,FALSE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,92,50,23
5,FALSE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,96,62,23
1,FALSE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,112,58,30
6,FALSE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,118,78,35
3,FALSE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,108,50,27
7,FALSE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,100,49,25
8,FALSE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,73,34,20
9,FALSE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,120,55,26
11,FALSE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,91,49,25
10,FALSE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,100,58,32
13,FALSE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,102,65,28
15,FALSE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,73,39,18
14,FALSE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,81,42,22
17,FALSE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,107,49,21
16,FALSE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,106,61,28
19,FALSE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,96,51,26
18,FALSE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,102,65,28
20,FALSE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,84,30,17
21,FALSE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,116,55,30
23,FALSE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,97,47,24
22,FALSE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,110,60,26
12,FALSE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,104,60,25
24,FALSE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,103,58,31
26,FALSE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,85,29,22
25,FALSE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,119,67,34
28,FALSE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,89,40,23
27,FALSE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,110,57,27
29,FALSE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,94,59,32
30,FALSE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,101,46,25
32,FALSE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,122,55,29
31,FALSE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,107,64,30
33,FALSE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,111,63,30
34,FALSE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,108,58,35
37,FALSE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,84,42,21
36,FALSE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,91,54,21
35,FALSE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,102,53,26
38,FALSE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,83,41,20
39,FALSE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,120,75,32
41,FALSE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,114,53,28
42,FALSE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,105,57,29
44,FALSE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,110,46,22
43,FALSE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,107,66,27
