[run number],distancing?,house-capacity,mask-effectiveness,seats?,infectiousness,vaccinated-people,initialy-sick,number-people,exit?,mask?,time-of-closing,[step],overall-visitors,overall-infected,overall-sick
2,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,92,29,23
7,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,89,20,26
4,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,105,32,22
1,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,110,33,32
5,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,83,17,22
10,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,103,34,26
8,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,80,19,22
9,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,93,25,25
11,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,102,23,22
3,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,109,26,23
6,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,120,44,31
12,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,111,41,29
14,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,90,30,21
17,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,113,30,30
13,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,105,30,27
16,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,117,28,26
20,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,103,19,26
21,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,118,37,33
19,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,114,28,28
24,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,78,23,16
22,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,115,32,34
15,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,105,29,27
18,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,117,33,30
23,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,102,33,29
26,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,116,44,28
29,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,82,20,23
25,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,100,23,22
28,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,109,28,24
27,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,107,35,26
33,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,89,24,22
32,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,95,35,27
31,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,99,25,26
30,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,121,42,27
34,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,117,37,27
36,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,97,19,29
38,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,77,26,25
35,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,102,34,28
37,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,107,36,31
39,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,90,28,23
43,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,87,27,21
41,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,100,32,29
40,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,115,35,22
42,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,111,39,26
44,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,124,39,29
45,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,105,29,22
46,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,101,22,26
48,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,112,36,29
49,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,92,28,23
51,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,103,31,23
47,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,105,43,27
52,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,109,32,27
50,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,108,34,29
53,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,82,25,21
54,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,117,49,30
55,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,130,38,38
56,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,101,33,26
57,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,131,48,39
59,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,122,40,35
60,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,113,30,26
58,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,109,31,25
63,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,84,24,21
62,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,100,30,28
64,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,91,22,19
66,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,99,21,21
61,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,119,38,31
65,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,112,25,25
67,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,99,23,27
69,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,105,31,31
68,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,132,47,34
70,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,81,19,18
74,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,101,31,22
72,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,110,37,26
71,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,105,37,26
75,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,111,37,32
73,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,114,27,35
76,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,94,39,27
77,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,104,39,25
79,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,119,30,33
78,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,110,44,32
80,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,128,42,35
81,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,114,32,32
82,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,106,41,30
83,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,109,21,27
84,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,81,30,16
86,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,81,21,20
85,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,114,30,27
88,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,95,34,24
89,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,93,26,21
87,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,98,31,28
90,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,108,33,24
92,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,112,52,30
91,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,93,30,22
93,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,85,28,23
95,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,83,27,19
94,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,120,30,32
96,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,94,32,20
97,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,104,26,22
98,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,95,24,24
99,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,86,17,19
100,FALSE,110,65,TRUE,70,85,25,60,TRUE,TRUE,18,479,99,30,22
