[run number],distancing?,house-capacity,mask-effectiveness,seats?,infectiousness,vaccinated-people,initialy-sick,number-people,exit?,mask?,time-of-closing,[step],overall-visitors,overall-infected,overall-sick
7,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,91,2,22
8,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,96,8,27
2,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,92,7,24
3,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,100,20,24
5,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,109,8,26
4,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,128,19,40
1,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,104,13,23
6,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,128,21,37
10,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,97,12,23
11,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,115,12,26
12,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,108,18,28
13,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,103,12,25
15,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,104,13,26
14,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,98,9,22
9,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,116,10,27
16,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,76,7,19
18,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,105,7,24
17,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,86,9,20
20,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,94,6,21
19,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,113,19,31
24,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,104,10,24
23,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,112,6,30
22,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,119,13,32
25,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,105,6,22
21,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,106,16,26
27,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,77,7,22
26,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,107,15,21
28,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,75,9,19
29,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,106,7,29
30,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,99,13,22
31,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,106,9,28
32,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,82,6,20
35,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,84,7,24
34,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,97,9,22
36,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,91,12,20
33,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,116,16,29
38,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,125,16,29
39,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,88,3,25
37,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,121,13,31
40,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,102,12,25
43,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,68,2,16
41,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,108,13,27
42,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,114,17,32
45,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,100,9,27
44,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,72,6,17
46,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,111,8,28
47,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,117,16,33
48,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,83,5,24
50,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,81,7,19
49,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,103,11,28
51,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,88,9,19
52,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,110,16,26
57,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,80,2,25
55,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,116,16,32
54,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,117,8,24
56,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,107,21,25
58,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,111,16,32
53,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,106,15,32
59,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,116,9,22
61,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,64,8,15
63,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,79,5,18
60,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,108,12,28
62,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,94,9,23
64,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,123,11,29
65,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,97,6,25
67,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,92,10,19
68,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,89,11,19
66,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,95,10,22
70,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,103,20,26
69,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,119,20,28
71,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,107,12,28
72,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,107,18,25
73,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,109,11,30
74,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,105,13,28
75,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,97,11,27
77,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,87,4,22
76,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,105,9,26
78,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,108,10,29
79,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,82,9,19
81,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,107,8,26
80,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,122,9,25
82,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,129,16,28
83,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,115,18,26
84,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,110,9,29
85,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,72,6,21
86,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,103,5,25
87,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,106,10,25
88,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,105,8,28
89,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,104,6,27
90,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,75,8,16
92,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,108,16,28
91,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,117,13,30
95,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,91,6,25
96,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,81,8,22
94,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,122,15,29
93,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,101,10,24
97,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,116,5,29
98,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,103,7,23
99,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,115,8,25
100,TRUE,110,65,TRUE,70,85,25,60,TRUE,FALSE,18,479,123,14,35
